,lat,lon,timestamp,amenity,name,tags,is_common,is_tourism,is_interesting
0,49.260812,-123.125736,2020-03-20T18:22:12.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'addr:housenumber': '2787', 'brand:wikipedia': 'en:Starbucks', 'opening_hours': 'Mo-Th 05:30-19:30; Fr-Su 05:30-20:00', 'cuisine': 'coffee_shop', 'addr:street': 'Laurel Street', 'takeaway': 'yes', 'brand': 'Starbucks'}",False,False,True
1,49.260953,-123.125704,2019-08-02T18:11:20.000-07:00,fast_food,Salad Loop,{'opening_hours': 'Mo-Fr 07:00-17:00; Sa 10:00-14:30'},False,False,True
3,49.2498481,-122.959708,2011-09-06T03:52:10.000-07:00,bbq,,{},False,False,True
4,49.3708976,-123.2804478,2015-05-03T00:42:25.000-07:00,place_of_worship,St. Monica's Anglican Church,"{'addr:housenumber': '6404', 'addr:street': 'Wellington Avenue', 'denomination': 'anglican', 'religion': 'christian'}",False,False,True
5,49.219983,-122.988481,2010-02-26T02:20:23.000-08:00,post_box,,{'operator': 'Canada Post'},False,False,True
6,49.2802556,-122.9288938,2009-03-26T04:52:17.000-07:00,telephone,,{},False,False,True
7,49.264041399999996,-123.1534072,2019-08-29T18:50:05.000-07:00,fuel,Shell,"{'brand:wikidata': 'Q154950', 'addr:housenumber': '2103', 'website': 'https://www.shell.ca/', 'brand:wikipedia': 'en:Royal Dutch Shell', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'addr:street': 'West Broadway', 'fuel:diesel': 'yes', 'brand': 'Shell', 'fuel:octane_87': 'yes', 'operator': 'Shell'}",False,False,True
9,49.3705855,-123.2743869,2015-10-24T19:42:51.000-07:00,vending_machine,,{},False,False,True
10,49.3705742,-123.2743627,2015-10-24T19:42:51.000-07:00,vending_machine,,{},False,False,True
11,49.3705637,-123.2743775,2015-10-24T19:42:51.000-07:00,vending_machine,,{},False,False,True
12,49.3705707,-123.2744003,2015-10-24T19:42:51.000-07:00,vending_machine,,{},False,False,True
13,49.1266497,-123.1824699,2020-03-30T09:08:51.000-07:00,restaurant,Best Bite Indian Cuisine,"{'addr:housenumber': '10-3891', 'phone': '+1-604-370-4949', 'cuisine': 'indian', 'addr:street': 'Chatham Street', 'addr:postcode': 'V7E 2Z6', 'addr:city': 'Richmond'}",False,False,True
14,49.2760753,-123.1271668,2015-10-26T07:17:38.000-07:00,parking_entrance,Hertz,"{'parking': 'underground', 'access': 'customers'}",False,False,True
16,49.2831924,-123.1090499,2015-12-18T21:41:07.000-08:00,pub,The Cambie,"{'toilets:wheelchair': 'no', 'wheelchair': 'limited', 'addr:housenumber': '300', 'addr:street': 'Cambie Street', 'addr:city': 'Vancouver'}",False,False,True
17,49.0822808,-122.0561304,2018-02-12T01:42:34.000-08:00,fuel,Petro-Canada,{'name:en': 'Petrol Canada'},False,False,True
18,49.2658642,-123.2426102,2008-08-21T00:26:55.000-07:00,bicycle_parking,,{'created_by': 'Potlatch 0.10b'},False,False,True
19,49.2659507,-123.2466297,2011-11-19T08:06:36.000-08:00,pub,Mahony and Sons,{'wheelchair': 'yes'},False,False,True
21,49.2692701,-123.0570393,2019-11-04T23:33:49.000-08:00,fuel,Petro-Canada,"{'brand:wikidata': 'Q1208279', 'addr:housenumber': '2398', 'phone': '+1-604-251-1455', 'brand:wikipedia': 'en:Petro-Canada', 'opening_hours': 'Mo-Fr 06:30-23:00; Sa-Su 07:00-23:00', 'addr:street': 'East 1st Avenue', 'addr:postcode': 'V5N 1C3', 'brand': 'Petro-Canada', 'operator': 'Petro-Canada', 'addr:city': 'Vancouver'}",False,False,True
22,49.2691285,-123.0561052,2015-09-03T03:39:37.000-07:00,fuel,,{'operator': 'Chevron'},False,False,True
23,49.3285566,-123.1571712,2019-12-28T18:04:08.000-08:00,fuel,Esso,"{'brand:wikidata': 'Q867662', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}",False,False,True
24,49.3279474,-123.1563947,2008-11-10T05:46:54.000-08:00,fuel,Petro Canada,{'created_by': 'Potlatch 0.10f'},False,False,True
25,49.3278833,-123.1519451,2008-11-14T05:58:14.000-08:00,fuel,Shell,{'created_by': 'Potlatch 0.10f'},False,False,True
26,49.3451932,-123.1497994,2008-11-14T06:03:08.000-08:00,school,Sentinel Secondary School,{'created_by': 'Potlatch 0.10f'},False,False,True
27,49.3452212,-123.152503,2008-11-14T06:03:29.000-08:00,school,Chartwell Elementary School,{'created_by': 'Potlatch 0.10f'},False,False,True
28,49.3299977,-123.1523829,2019-09-13T13:56:49.000-07:00,school,Hollyburn Elementary School,"{'addr:housenumber': '1329', 'website': 'https://westvancouverschools.ca/hollyburn-elementary/', 'addr:street': 'Duchess Avenue', 'addr:postcode': 'V7T 1H5', 'addr:city': 'West Vancouver'}",False,False,True
29,49.3347474,-123.1699181,2016-02-26T08:40:43.000-08:00,school,Pauline Johnson Elementary School,{},False,False,True
31,49.2811586,-123.0767324,2018-05-16T22:30:01.000-07:00,community_centre,Korean Community Centre,"{'addr:housenumber': '1320', 'addr:street': 'East Hastings Street', 'phone': '+1-604-255-3739', 'addr:postcode': 'V5L 1S3', 'addr:city': 'Vancouver'}",False,False,True
32,49.19308,-123.1795956,2018-04-25T01:13:43.000-07:00,post_box,,{'operator': 'Canada Post Corporation'},False,False,True
33,49.1935797,-123.1807883,2019-09-14T05:00:22.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'level': '0', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'indoor': 'yes', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",False,False,True
36,49.1933876,-123.1801028,2019-09-14T05:00:22.000-07:00,pharmacy,Pharmasave,"{'indoor': 'yes', 'level': '-1', 'healthcare': 'pharmacy'}",False,False,True
37,49.1932856,-123.1801496,2019-09-14T05:00:22.000-07:00,dentist,Vancouver Airport Dental Centre,"{'indoor': 'yes', 'level': '-1', 'healthcare': 'dentist'}",False,False,True
38,49.1932928,-123.1802849,2019-09-02T22:08:26.000-07:00,doctors,Ultima Medical Clinic,"{'opening_hours': 'Mo-Fr 08:00-17:00; Sa,Su off', 'indoor': 'yes', 'level': '-1', 'healthcare': 'doctor'}",False,False,True
39,49.1936961,-123.1802332,2020-03-04T08:57:42.000-08:00,post_office,YVR Domestic Terminal,"{'brand:wikidata': 'Q1032001', 'addr:housenumber': '3880', 'level': '-1', 'brand:wikipedia': 'en:Canada Post', 'description': 'Inside 7-Eleven', 'indoor': 'yes', 'addr:street': 'Grant McConachie Way', 'addr:postcode': 'V7B 1W0', 'brand': 'Canada Post', 'operator': 'Canada Post'}",False,False,True
41,49.1936682,-123.1802877,2018-05-05T12:06:12.000-07:00,atm,,"{'indoor': 'yes', 'level': '-1', 'operator': 'RBC Royal Bank'}",False,False,True
42,49.2248856,-122.8913862,2018-04-26T05:25:14.000-07:00,childcare,Kids & Company,{},False,False,True
43,49.1338641,-122.8899466,2019-11-24T07:35:44.000-08:00,dentist,Aura Orthodontics,"{'addr:housenumber': '7192', 'website': 'https://www.auraortho.com', 'phone': '+1-604-593-5225', 'healthcare:speciality': 'orthodontics', 'opening_hours': 'Mo 09:00-17:30, Tu-We 10:00-18:30, Th-Fr 10:00-19:30, Sa 08:00-16:30', 'description': 'At Aura Orthodontics our goal is simple: to create the smile that you’ve always dreamed of! Stop by our Surrey Orthodontic Clinic', 'addr:street': '120 St', 'addr:postcode': 'V3W 3M8', 'healthcare': 'dentist', 'addr:city': 'Surrey'}",False,False,True
45,49.3248324,-123.1349985,2020-05-26T01:08:22.000-07:00,parking_entrance,,{},False,False,True
46,49.341975,-123.063321,2008-04-28T02:25:55.000-07:00,school,Carisbrook Elementary,{'created_by': 'Potlatch 0.8b'},False,False,True
47,49.3413319,-123.063527,2008-04-28T02:27:08.000-07:00,parking,,{'created_by': 'Potlatch 0.8b'},False,False,True
49,49.2127739,-123.1690515,2008-07-06T22:18:25.000-07:00,parking,,{'created_by': 'JOSM'},False,False,True
50,49.218984,-123.2136834,2008-07-06T22:18:26.000-07:00,telephone,,{'created_by': 'JOSM'},False,False,True
51,49.0557594,-122.1951722,2017-06-22T21:48:35.000-07:00,public_building,Sumas First Nations Hall,{},False,False,True
52,49.2284004,-122.8483834,2019-11-20T11:48:37.000-08:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'addr:housenumber': '1450', 'brand:wikipedia': 'en:Tim Hortons', 'opening_hours': '24/7', 'cuisine': 'coffee_shop', 'addr:street': 'United Boulevard', 'takeaway': 'yes', 'brand': 'Tim Hortons'}",False,False,True
53,49.2111765,-122.9232161,2019-07-02T01:10:30.000-07:00,fuel,Esso,"{'brand:wikidata': 'Q867662', 'website': 'https://www.esso.com/', 'brand:wikipedia': 'en:Esso', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'fuel:diesel': 'yes', 'brand': 'Esso', 'fuel:octane_87': 'yes', 'operator': 'Esso'}",False,False,True
54,49.212449,-122.9197493,2019-07-02T01:10:30.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'website': 'https://www.timhortons.com/', 'brand:wikipedia': 'en:Tim Hortons', 'cuisine': 'coffee_shop', 'source': 'gps/photo survey', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'operator': 'Restaurant Brands International Inc.'}",False,False,True
55,49.212659,-122.9193469,2019-07-02T01:10:30.000-07:00,cafe,Starbucks,"{'brand:wikidata': 'Q37158', 'official_name': 'Starbucks Coffee', 'brand:wikipedia': 'en:Starbucks', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Starbucks'}",False,False,True
56,49.1332307,-122.5818649,2019-12-10T13:03:24.000-08:00,fuel,Chevron,"{'brand:wikidata': 'Q319642', 'brand:wikipedia': 'en:Chevron Corporation', 'fuel:octane_89': 'yes', 'addr:postcode': 'V2Y 2K2', 'fuel:diesel': 'yes', 'fuel:octane_87': 'yes', 'addr:housenumber': '23182', 'fuel:octane_94': 'yes', 'fuel:octane_91': 'yes', 'covered': 'yes', 'opening_hours': '24/7', 'self_service': 'yes', 'addr:street': '72 Avenue', 'brand': 'Chevron'}",False,False,True
58,49.1712762,-123.1348734,2019-10-27T17:08:25.000-07:00,restaurant,Oriental Rice Noodle,"{'addr:housenumber': '8100', 'phone': '+1-604-370-3738', 'opening_hours': 'Su-Th 11:00-22:30; Fr-Sa 11:00-23:00', 'cuisine': 'chinese', 'addr:street': 'Ackroyd Road', 'addr:unit': '130', 'addr:city': 'Richmond', 'name:zh': '雲尚過橋米線'}",False,False,True
61,49.0579188,-122.460182,2020-05-04T03:14:59.000-07:00,dentist,Station Road Dental Aldergrove,"{'website': 'https://www.stationroaddentalcentre.com/', 'facebook': 'https://www.facebook.com/Station-Road-Dental-Aldergrove-504325426331181/', 'emergency': 'yes', 'addr:postcode': 'V4W 3P9', 'addr:unit': '101', 'operator': 'John So', 'healthcare': 'dentist', 'addr:city': 'Aldergrove', 'addr:housenumber': '27595', 'phone': '+1-604-857-5400', 'opening_hours': 'Mo-Th 08:30-18:00; Fr 08:30-19:00; Sa 09:00-17:00', 'addr:street': 'Fraser Highway', 'fax': '+1-604-857-5402'}",False,False,True
62,49.0750325,-123.077857,2016-02-10T04:23:28.000-08:00,place_of_worship,Sacred Heart,"{'toilets:wheelchair': 'yes', 'wheelchair': 'yes', 'religion': 'christian'}",False,False,True
63,49.1922556,-123.091042,2019-05-29T17:42:02.000-07:00,fuel,Chevron,"{'brand:wikidata': 'Q319642', 'addr:housenumber': '12011', 'addr:street': 'Bridgeport Road', 'brand': 'Chevron', 'brand:wikipedia': 'en:Chevron Corporation'}",False,False,True
64,49.0914573,-123.0792612,2019-07-07T21:50:17.000-07:00,pharmacy,London Drugs,"{'brand:wikidata': 'Q3258955', 'brand': 'London Drugs', 'brand:wikipedia': 'en:London Drugs', 'healthcare': 'pharmacy'}",False,False,True
65,49.1327053,-123.0991859,2019-08-24T15:12:34.000-07:00,restaurant,Nando's,"{'brand:wikidata': 'Q3472954', 'cuisine': 'chicken;portuguese', 'brand': ""Nando's"", 'brand:wikipedia': ""en:Nando's""}",False,False,True
66,49.1330103,-123.0955358,2019-08-24T15:12:34.000-07:00,restaurant,Boston Pizza,"{'brand:wikidata': 'Q894578', 'cuisine': 'pizza', 'brand': 'Boston Pizza', 'brand:wikipedia': 'en:Boston Pizza', 'addr:unit': '2000'}",False,False,True
67,49.2347493,-123.1547249,2019-09-24T19:58:50.000-07:00,fast_food,McDonald's,"{'brand:wikidata': 'Q38076', 'wheelchair': 'yes', 'addr:housenumber': '2095', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'opening_hours': '24/7', 'cuisine': 'burger', 'addr:street': 'West 41st Avenue', 'takeaway': 'yes', 'brand': ""McDonald's""}",False,False,True
68,49.090282,-123.0837214,2019-09-05T07:39:04.000-07:00,bank,CIBC,"{'brand:wikidata': 'Q666694', 'wheelchair': 'yes', 'addr:housenumber': '5045', 'website': 'https://locations.cibc.com/bc/delta/53235', 'brand:wikipedia': 'en:Canadian Imperial Bank of Commerce', 'drive_through': 'no', 'surveillance': 'indoor', 'addr:street': '48 Avenue', 'atm': 'yes', 'brand': 'CIBC'}",False,False,True
71,49.2630877,-123.2409511,2008-12-14T06:43:46.000-08:00,post_box,,{'operator': 'Canada Post'},False,False,True
72,49.2684891,-123.258088,2017-03-04T08:41:21.000-08:00,pub,Koerner's Pub,"{'opening_hours': 'Mo-Fr 11:30-01:00', 'addr:housenumber': '6371', 'website': 'http://koerners.ca/', 'addr:street': 'Crescent Road', 'phone': '+1-604-827-1443'}",False,False,True
73,49.2819978,-123.1243463,2019-03-22T02:51:06.000-07:00,cinema,Scotiabank Theatre Vancouver,"{'addr:housenumber': '900', 'website': 'https://www.cineplex.com/Theatre/scotiabank-theatre-vancouver', 'phone': '+1-604-630-1407', 'addr:street': 'Burrard Street', 'is_in:city': 'Vancouver', 'addr:postcode': 'V6Z 3G5', 'wikidata': 'Q38378292', 'operator': 'Cineplex'}",False,False,True
74,49.2805037,-123.1068723,2019-12-01T04:03:46.000-08:00,theatre,Cineplex Odeon International Village Cinemas,"{'addr:housenumber': '88', 'alt_name': 'Tinseltown', 'addr:street': 'West Pender Street', 'level': '2', 'addr:city': 'Vancouver'}",False,False,True
75,49.2741986,-123.1098162,2020-03-27T17:40:40.000-07:00,ferry_terminal,Plaza of Nations Dock,"{'public_transport': 'stop_position', 'operator': 'Aquabus & False Creek Ferries', 'ferry': 'yes'}",False,False,True
76,49.2724874,-123.1056477,2020-03-31T01:00:27.000-07:00,ferry_terminal,Village Dock,"{'public_transport': 'stop_position', 'operator': 'Aquabus & False Creek Ferries', 'ferry': 'yes'}",False,False,True
77,49.155881,-123.1369787,2020-04-17T20:57:09.000-07:00,fuel,Chevron,"{'brand:wikidata': 'Q319642', 'addr:housenumber': '7951', 'addr:street': 'No. 3 Road', 'brand': 'Chevron', 'brand:wikipedia': 'en:Chevron Corporation'}",False,False,True
78,49.147988,-123.136335,2017-02-20T06:56:21.000-08:00,fuel,Esso,"{'addr:housenumber': '9000', 'addr:street': 'No. 3 Road'}",False,False,True
79,49.1187079,-122.9156888,2015-06-26T05:13:50.000-07:00,parking,,{},False,False,True
80,49.1145105,-122.8969094,2015-06-26T00:01:55.000-07:00,parking,,{},False,False,True
81,49.1188324,-122.9055699,2015-06-26T00:01:55.000-07:00,parking,,{},False,False,True
82,49.1057098,-122.8982225,2009-07-16T03:00:02.000-07:00,parking,,{},False,False,True
83,49.2635825,-123.1288364,2019-05-04T04:55:51.000-07:00,cafe,Waves,{'opening_hours': 'Mo-Fr 06:00-24:00; Sa-Su 08:00-22:00'},False,False,True
84,49.1401463,-123.1378853,2014-08-23T05:24:32.000-07:00,fast_food,Subway,{'cuisine': 'sub'},False,False,True
86,49.1144939,-123.0772698,2009-07-20T17:57:06.000-07:00,fuel,,{},False,False,True
87,49.1556713,-123.1248972,2017-08-19T05:05:34.000-07:00,bar,Legends Pub,{},False,False,True
88,49.1398614,-123.137394,2019-02-27T00:17:55.000-08:00,fast_food,KFC,"{'brand:wikidata': 'Q524757', 'cuisine': 'chicken', 'brand': 'KFC', 'brand:wikipedia': 'en:KFC', 'drive_through': 'no'}",False,False,True
89,49.1486188,-123.1358921,2009-09-01T22:49:26.000-07:00,fast_food,Pizza Hut (takeout),{},False,False,True
90,49.1330851,-123.0940869,2019-08-24T15:12:34.000-07:00,fast_food,McDonald's,"{'brand:wikidata': 'Q38076', 'website': 'http://www.mcdonalds.ca/', 'internet_access': 'wlan', 'brand:wikipedia': ""en:McDonald's"", 'drive_through': 'yes', 'opening_hours': '24/7', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': ""McDonald's""}",False,False,True
91,49.1329977,-123.0973124,2019-08-24T15:12:34.000-07:00,fast_food,Burger King,"{'brand:wikidata': 'Q177054', 'cuisine': 'burger', 'takeaway': 'yes', 'brand': 'Burger King', 'brand:wikipedia': 'en:Burger King'}",False,False,True
92,49.2195944,-123.0668488,2019-09-02T22:08:25.000-07:00,library,VPL Fraserview Branch,"{'opening_hours': 'Tu,We 10:00-21:00; Th-Sa 10:00-18:00; Su 13:00-17:00', 'addr:housenumber': '1950', 'website': 'https://www.vpl.ca/location/fraser-branch', 'addr:street': 'Argyle Drive', 'operator': 'Vancouver Public Library'}",False,False,True
93,49.2224108,-122.9125474,2019-03-19T06:11:24.000-07:00,fuel,Shell,"{'website': 'https://www.shell.ca/', 'shop': 'yes', 'fuel:octane_91': 'yes', 'fuel:octane_89': 'yes', 'brand': 'Shell', 'fuel:octane_87': 'yes', 'operator': 'Shell'}",False,False,True
94,49.2325006,-123.0773431,2019-10-31T23:32:04.000-07:00,fuel,Shell,"{'brand:wikidata': 'Q154950', 'addr:housenumber': '1396', 'brand:wikipedia': 'en:Royal Dutch Shell', 'addr:street': 'East 41st Avenue', 'brand': 'Shell', 'operator': 'Shell'}",False,False,True
95,49.091207,-122.9564485,2010-06-11T04:53:29.000-07:00,fast_food,Triple O's,{},False,False,True
96,49.0919518,-122.9576502,2019-08-02T01:26:08.000-07:00,cafe,Tim Hortons,"{'brand:wikidata': 'Q175106', 'cuisine': 'coffee_shop', 'takeaway': 'yes', 'brand': 'Tim Hortons', 'brand:wikipedia': 'en:Tim Hortons'}",False,False,True
97,49.0904997,-123.0647436,2019-06-06T07:44:09.000-07:00,fuel,Esso,"{'brand:wikidata': 'Q867662', 'brand': 'Esso', 'brand:wikipedia': 'en:Esso'}",False,False,True
98,49.0905125,-123.0719728,2019-06-06T07:44:09.000-07:00,fuel,Petro-Canada,"{'brand:wikidata': 'Q1208279', 'brand': 'Petro-Canada', 'brand:wikipedia': 'en:Petro-Canada'}",False,False,True
99,49.3104392,-123.0512011,2008-04-09T23:47:46.000-07:00,school,Winsor House,{'created_by': 'Potlatch 0.8a'},False,False,True
100,49.2022069,-123.1341593,2019-02-20T02:36:05.000-08:00,car_rental,Wicked Camper Van,"{'addr:housenumber': '1295', 'website': 'https://www.wickedcampers.ca/', 'addr:street': 'West 75th Avenue'}",False,False,True
102,49.1879722,-122.9942481,2016-08-18T22:55:17.000-07:00,drinking_water,,{},False,False,True
103,49.1917764,-122.9989134,2016-08-18T22:55:17.000-07:00,drinking_water,,{},False,False,True
104,49.1937883,-122.9997851,2016-08-18T23:09:45.000-07:00,drinking_water,,{},False,False,True
107,49.2013565,-123.0234677,2016-08-18T23:19:33.000-07:00,shelter,,{'shelter_type': 'gazebo'},False,False,True
108,49.268662,-123.1045109,2019-03-22T02:52:21.000-07:00,bar,Faculty Brewing,"{'addr:housenumber': '1830', 'website': 'https://www.facultybrewing.com/', 'shop': 'alcohol', 'phone': '+1-778-819-6794', 'opening_hours': 'Mo-Fr 14:00-23:00; Sa-Su 11:00-23:00', 'outdoor_seating': 'no', 'addr:street': 'Ontario Street', 'addr:postcode': 'V5T 2W6', 'email': 'hola@facultybrewing.com', 'addr:city': 'Vancouver'}",False,False,True
109,49.2729177,-123.1540262,2016-08-19T04:40:09.000-07:00,car_sharing,,"{'operator': 'ZipCars', 'capacity': '2'}",False,False,True
110,49.2729146,-123.1539774,2016-08-19T04:40:10.000-07:00,car_sharing,,"{'operator': 'Evo', 'capacity': '2'}",False,False,True
111,49.2757002,-123.14245,2016-08-24T22:32:32.000-07:00,bicycle_rental,Vanier Park,"{'ref': '0077', 'capacity': '28', 'network': 'Mobi'}",False,False,True
113,49.2777729,-123.1208527,2016-08-19T18:55:24.000-07:00,bicycle_rental,Nelson & Richards,"{'ref': '0079', 'capacity': '30', 'network': 'Mobi'}",False,False,True
114,49.2667096,-123.1048197,2016-08-20T04:15:34.000-07:00,bicycle_rental,Ontario & 5th,"{'ref': '0073', 'capacity': '18', 'network': 'Mobi'}",False,False,True
115,49.2685718,-123.1045263,2018-10-26T20:30:44.000-07:00,cafe,Argo Cafe,"{'addr:housenumber': '1836', 'addr:street': 'Ontario Street', 'phone': '+1-604-876-3620'}",False,False,True
116,49.2673073,-123.104332,2016-08-20T04:15:38.000-07:00,bicycle_parking,,{},False,False,True
117,49.2672519,-123.1033949,2018-10-26T20:30:44.000-07:00,pub,R & B Ale & Pizza House,"{'opening_hours': 'Su-Tu 11:00-23:00; We-Sa 11:00-00:00', 'website': 'https://www.randbbrewing.com/alehouse', 'phone': '+1-604-336-0275'}",False,False,True
118,49.2751748,-123.1397889,2016-08-20T04:15:40.000-07:00,drinking_water,,{},False,False,True
120,49.2673126,-123.1045632,2019-06-17T19:44:53.000-07:00,post_box,,{'collection_times': 'Mo-Fr 14:00'},False,False,True
121,49.2665754,-123.103744,2018-10-26T20:30:44.000-07:00,restaurant,Peaceful Restaurant,"{'opening_hours': 'Su-Th 11:00-21:30; Fr-Sa 11:00-22:00', 'addr:housenumber': '43', 'website': 'http://www.peacefulrestaurant.com', 'addr:street': 'East 5th Avenue', 'phone': '+1-604-559-9511'}",False,False,True
122,49.2673013,-123.1039879,2016-08-20T04:15:39.000-07:00,bicycle_parking,,{},False,False,True
123,49.2672834,-123.1030514,2016-08-20T04:15:40.000-07:00,bicycle_parking,,{},False,False,True
129,49.0522216,-122.3543835,2018-04-01T18:45:36.000-07:00,shelter,,"{'shelter_type': 'picnic_shelter', 'building': 'roof'}",False,False,True
142,49.1205696,-122.3033506,2016-08-20T23:29:55.000-07:00,drinking_water,,{},False,False,True
145,49.1079298,-122.3383316,2017-02-15T03:07:59.000-08:00,parking,,{},False,False,True
161,49.0894697,-122.1373561,2016-08-23T01:09:44.000-07:00,drinking_water,,{},False,False,True
163,49.2251641,-123.0037419,2018-07-28T21:23:42.000-07:00,clinic,J-Von Medical Centre,"{'addr:housenumber': '4468', 'addr:street': 'Beresford Street', 'phone': '+1-778-379-8299'}",False,False,True
168,49.0434612,-122.3172437,2017-09-23T22:20:30.000-07:00,recycling,,"{'recycling:glass_bottles': 'yes', 'recycling_type': 'container', 'recycling:cans': 'yes'}",False,False,True
169,49.0439737,-122.3168528,2017-09-23T22:20:30.000-07:00,recycling,,"{'recycling:glass_bottles': 'yes', 'recycling_type': 'container', 'recycling:cans': 'yes'}",False,False,True
171,49.0438697,-122.3171047,2017-09-23T22:20:31.000-07:00,recycling,,"{'recycling:glass_bottles': 'yes', 'recycling_type': 'container', 'recycling:cans': 'yes'}",False,False,True
176,49.0434149,-122.3096697,2016-08-24T01:38:45.000-07:00,recycling,,{'recycling_type': 'container'},False,False,True
177,49.0343819,-122.2499256,2019-09-02T22:08:26.000-07:00,childcare,Kids Club Child Care Centre Ltd.,"{'opening_hours': 'Mo-Fr 06:00-18:00; Sa,Su,PH off', 'website': 'http://www.kidsclubabbotsford.com', 'phone': '+1-604-556-7355'}",False,False,True
178,49.0387858,-122.2400307,2016-08-24T07:24:34.000-07:00,recycling,,{'recycling_type': 'container'},False,False,True
181,49.0388932,-122.2400984,2016-08-24T07:24:39.000-07:00,drinking_water,,{},False,False,True
182,49.0387968,-122.2400733,2016-08-24T07:24:32.000-07:00,public_bookcase,Little Free Library,{'operator': 'Rotary Abbotsford-Sumas'},False,False,True
185,49.0378502,-122.2360735,2016-08-24T07:24:59.000-07:00,vending_machine,,"{'vending': 'excrement_bags', 'fee': 'no'}",False,False,True
187,49.2792244,-123.0995102,2019-09-02T22:08:26.000-07:00,university,UBC Learning Exchange,"{'addr:housenumber': '612', 'website': 'http://learningexchange.ubc.ca', 'phone': '+1-604-408-5164', 'opening_hours': 'Mo-We 09:00-12:00,13:00-17:00; Th 09:00-12:00,13:00-19:00; Fr 13:00-17:00', 'addr:street': 'Main Street', 'fax': '+1-604-682-6807', 'email': 'learning.exchange@ubc.ca'}",False,False,True
190,49.0388778,-122.2401177,2016-08-24T07:24:46.000-07:00,recycling,,{'recycling_type': 'container'},False,False,True
193,49.186067800000004,-122.9435292,2020-01-09T02:48:51.000-08:00,library,Queensborough Library,"{'addr:housenumber': '920', 'website': 'https://www.nwpl.ca/', 'phone': '+1-604-636-4450', 'opening_hours': 'Mo-Fr 09:00-19:00; Sa 10:00-17:00; Su 12:00-17:00', 'addr:street': 'Ewen Avenue', 'operator': 'New Westminster Public Library'}",False,False,True
